"","experiment_alias","cell_line"
"2267","GSM2293751","embryonic fibroblast"
"2268","GSM2293752","embryonic fibroblast"
"2269","GSM2293753","embryonic fibroblast"
"2270","GSM2293754","embryonic fibroblast"
"2271","GSM2293755","embryonic fibroblast"
"2272","GSM2293756","embryonic fibroblast"
"2273","GSM2293757","embryonic fibroblast"
"2274","GSM2293758","embryonic fibroblast"
"2275","GSM2293759","embryonic fibroblast"
"2276","GSM2293760","embryonic fibroblast"
"2277","GSM2293761","embryonic fibroblast"
"2278","GSM2293762","embryonic fibroblast"
"2279","GSM2293763","embryonic fibroblast"
"2280","GSM2293764","embryonic fibroblast"
"2281","GSM2293765","embryonic fibroblast"
"2282","GSM2293766","embryonic fibroblast"
"2283","GSM2293767","embryonic fibroblast"
"2284","GSM2293768","embryonic fibroblast"
"2285","GSM2293769","embryonic fibroblast"
"2286","GSM2293770","embryonic fibroblast"
"2287","GSM2293771","embryonic fibroblast"
"2288","GSM2293772","embryonic fibroblast"
"2289","GSM2293773","embryonic fibroblast"
"2290","GSM2293774","embryonic fibroblast"
"2291","GSM2293775","embryonic fibroblast"
"2292","GSM2293776","embryonic fibroblast"
"2293","GSM2293777","embryonic fibroblast"
"2294","GSM2293778","embryonic fibroblast"
"2295","GSM2293779","embryonic fibroblast"
"2296","GSM2293780","embryonic fibroblast"
"2297","GSM2293781","embryonic fibroblast"
"2298","GSM2293782","embryonic fibroblast"
"2299","GSM2293783","embryonic fibroblast"
"2300","GSM2293784","embryonic fibroblast"
"2301","GSM2293785","embryonic fibroblast"
"2302","GSM2293786","embryonic fibroblast"
"2303","GSM2293787","embryonic fibroblast"
"2304","GSM2293788","embryonic fibroblast"
"2305","GSM2293789","embryonic fibroblast"
"2306","GSM2293790","embryonic fibroblast"
"2307","GSM2293791","embryonic fibroblast"
"2308","GSM2293792","embryonic fibroblast"
"2309","GSM2293793","embryonic fibroblast"
"2310","GSM2293794","embryonic fibroblast"
"2311","GSM2293795","embryonic fibroblast"
"2312","GSM2293796","embryonic fibroblast"
"2313","GSM2293797","embryonic fibroblast"
"2314","GSM2293798","embryonic fibroblast"
"2315","GSM2293799","embryonic fibroblast"
"2316","GSM2293800","embryonic fibroblast"
"2317","GSM2293801","embryonic fibroblast"
"2318","GSM2293802","embryonic fibroblast"
"2319","GSM2293803","embryonic fibroblast"
"2320","GSM2293804","embryonic fibroblast"
"2321","GSM2293805","embryonic fibroblast"
"2322","GSM2293806","embryonic fibroblast"
"2323","GSM2293807","embryonic fibroblast"
"2324","GSM2293808","embryonic fibroblast"
"2325","GSM2293809","embryonic fibroblast"
"2326","GSM2293810","embryonic fibroblast"
"2327","GSM2293811","embryonic fibroblast"
"2328","GSM2293812","embryonic fibroblast"
"2329","GSM2293813","embryonic fibroblast"
"2330","GSM2293814","embryonic fibroblast"
"2331","GSM2293815","embryonic fibroblast"
"2332","GSM2293816","embryonic fibroblast"
"2333","GSM2293817","embryonic fibroblast"
"2334","GSM2293818","embryonic fibroblast"
"2335","GSM2293819","embryonic fibroblast"
"2336","GSM2293820","embryonic fibroblast"
"2337","GSM2293821","embryonic fibroblast"
"2338","GSM2293822","embryonic fibroblast"
"2339","GSM2293823","embryonic fibroblast"
"2340","GSM2293824","embryonic fibroblast"
"2341","GSM2293825","embryonic fibroblast"
"2342","GSM2293826","embryonic fibroblast"
"2343","GSM2293827","embryonic fibroblast"
"2344","GSM2293828","embryonic fibroblast"
"2345","GSM2293829","embryonic fibroblast"
"2346","GSM2293830","embryonic fibroblast"
"2347","GSM2293831","embryonic fibroblast"
"2348","GSM2293832","embryonic fibroblast"
"2349","GSM2293833","CD4+ T cell"
"2350","GSM2293834","CD4+ T cell"
"2351","GSM2293835","CD4+ T cell"
"2352","GSM2293836","CD4+ T cell"
"2353","GSM2293837","CD4+ T cell"
"2354","GSM2293838","CD4+ T cell"
"2355","GSM2293839","CD4+ T cell"
"2356","GSM2293840","CD4+ T cell"
"2357","GSM2293841","CD4+ T cell"
"2358","GSM2293842","CD4+ T cell"
"2359","GSM2293843","CD4+ T cell"
"2360","GSM2293844","CD4+ T cell"
"2361","GSM2293845","CD4+ T cell"
"2362","GSM2293846","CD4+ T cell"
"2363","GSM2293847","CD4+ T cell"
"2364","GSM2293848","CD4+ T cell"
"2365","GSM2303104","mesodermal lineage derived from the primitive streak"
"2366","GSM2303105","mesodermal lineage derived from the primitive streak"
"2367","GSM2303106","mesodermal lineage derived from the primitive streak"
"2368","GSM2303107","mesodermal lineage derived from the primitive streak"
"2369","GSM2303108","mesodermal lineage derived from the primitive streak"
"2370","GSM2303109","mesodermal lineage derived from the primitive streak"
"2371","GSM2303110","microdissected neural tubes"
"2372","GSM2303111","microdissected neural tubes"
"2373","GSM2303112","microdissected neural tubes"
"2374","GSM2303113","microdissected neural tubes"
"2375","GSM2303114","microdissected neural tubes"
"2376","GSM2303115","microdissected neural tubes"
"2377","GSM2303116","microdissected forelimb buds"
"2378","GSM2303117","microdissected forelimb buds"
"2379","GSM2303118","microdissected forelimb buds"
"2380","GSM2303119","microdissected forelimb buds"
"2381","GSM2303120","microdissected forelimb buds"
"2382","GSM2303121","microdissected forelimb buds"
"2383","GSM2327825","HCT116"
"2384","GSM2327826","HCT116"
"2385","GSM2327827","HCT116"
"2386","GSM2327828","HCT116"
"2387","GSM2327829","HCT116"
"2388","GSM2327830","HCT116"
"2389","GSM2334709","hepatocyte"
"2390","GSM2334710","hepatocyte"
"2391","GSM2334711","hepatocyte"
"2392","GSM2334712","hepatocyte"
"2393","GSM2334713","hepatocyte"
"2394","GSM2334714","hepatocyte"
"2395","GSM2334715","hepatocyte"
"2396","GSM2334716","hepatocyte"
"2397","GSM2334717","hepatoblastoma"
"2398","GSM2334718","hepatoblastoma"
"2399","GSM2334719","hepatoblastoma"
"2400","GSM2334720","hepatoblastoma"
"2401","GSM2334721","hepatoblastoma"
"2402","GSM2334722","hepatoblastoma"
"2403","GSM2334723","hepatoblastoma"
"2404","GSM2334724","hepatoblastoma"
"2405","GSM2334725","hepatoblastoma"
"2406","GSM2334726","hepatoblastoma"
"2407","GSM2357212","RF8 mouse embryonic stem cell line"
"2408","GSM2357213","RF8 mouse embryonic stem cell line"
"2409","GSM2357214","RF8 mouse embryonic stem cell line"
"2410","GSM2357215","RF8 mouse embryonic stem cell line"
"2411","GSM2357216","RF8 mouse embryonic stem cell line"
"2412","GSM2357217","RF8 mouse embryonic stem cell line"
"2413","GSM2357218","RF8 mouse embryonic stem cell line"
"2414","GSM2357219","RF8 mouse embryonic stem cell line"
"2415","GSM2357220","RF8 mouse embryonic stem cell line"
"2416","GSM2357221","RF8 mouse embryonic stem cell line"
"2417","GSM2357222","RF8 mouse embryonic stem cell line"
"2418","GSM2357223","RF8 mouse embryonic stem cell line"
"2419","GSM2357224","RF8 mouse embryonic stem cell line"
"2420","GSM2357225","RF8 mouse embryonic stem cell line"
"2421","GSM2357226","RF8 mouse embryonic stem cell line"
"2422","GSM2357227","RF8 mouse embryonic stem cell line"
"2423","GSM2358917","interscapular brown fat"
"2424","GSM2358918","interscapular brown fat"
"2425","GSM2358919","interscapular brown fat"
"2426","GSM2358920","interscapular brown fat"
"2427","GSM2358921","interscapular brown fat"
"2428","GSM2358922","interscapular brown fat"
"2429","GSM2358923","epididymal white fat"
"2430","GSM2358924","epididymal white fat"
"2431","GSM2358925","subcutaneous white fat"
"2432","GSM2358926","subcutaneous white fat"
"2433","GSM2358927","subcutaneous white fat"
"2434","GSM2358928","subcutaneous white fat"
"2435","GSM2358929","interscapular brown fat"
"2436","GSM2358930","interscapular brown fat"
"2437","GSM2358931","interscapular brown fat"
"2438","GSM2358932","interscapular brown fat"
"2439","GSM2358933","interscapular brown fat"
"2440","GSM2358934","interscapular brown fat"
"2441","GSM2358935","epididymal white fat"
"2442","GSM2358936","epididymal white fat"
"2443","GSM2358937","subcutaneous white fat"
"2444","GSM2358938","subcutaneous white fat"
"2445","GSM2358939","subcutaneous white fat"
"2446","GSM2358940","subcutaneous white fat"
"2447","GSM2360167","Erythroid"
"2448","GSM2360168","Erythroid"
"2449","GSM2360169","Erythroid"
"2450","GSM2360170","Erythroid"
"2451","GSM2360171","Erythroid"
"2452","GSM2360172","Erythroid"
"2453","GSM2360173","Erythroid"
"2454","GSM2360174","Erythroid"
"2455","GSM2360175","Erythroid"
"2456","GSM2360176","Erythroid"
"2457","GSM2360177","Erythroid"
"2458","GSM2360178","Erythroid"
"2459","GSM2360179","Erythroid"
"2460","GSM2360180","Erythroid"
"2461","GSM2360181","Bone marrow derived macrophage"
"2462","GSM2360182","Bone marrow derived macrophage"
"2463","GSM2360183","Bone marrow derived macrophage"
"2464","GSM2360184","Bone marrow derived macrophage"
"2465","GSM2360185","Bone marrow derived macrophage"
"2466","GSM2360186","Bone marrow derived macrophage"
"2467","GSM2360187","Bone marrow derived macrophage"
"2468","GSM2360188","Bone marrow derived macrophage"
"2469","GSM2360189","Bone marrow derived macrophage"
"2470","GSM2360190","Bone marrow derived macrophage"
"2471","GSM2360191","Bone marrow derived macrophage"
"2472","GSM2360192","Bone marrow derived macrophage"
"2473","GSM2360193","Bone marrow derived macrophage"
"2474","GSM2360194","Bone marrow derived macrophage"
"2475","GSM2360195","Bone marrow derived macrophage"
"2476","GSM2360196","Bone marrow derived macrophage"
"2477","GSM2360197","Bone marrow derived macrophage"
"2478","GSM2360198","Bone marrow derived macrophage"
"2479","GSM2360199","Bone marrow derived macrophage"
"2480","GSM2360200","Bone marrow derived macrophage"
"2481","GSM2360201","Bone marrow derived macrophage"
"2482","GSM2360202","Bone marrow derived macrophage"
"2483","GSM2360203","Bone marrow derived macrophage"
"2484","GSM2360204","Bone marrow derived macrophage"
"2485","GSM2360205","Bone marrow derived macrophage"
"2486","GSM2360206","Bone marrow derived macrophage"
"2487","GSM2360207","Bone marrow derived macrophage"
"2488","GSM2360208","Bone marrow derived macrophage"
"2489","GSM2360209","Bone marrow derived macrophage"
"2490","GSM2360210","Bone marrow derived macrophage"
"2491","GSM2360211","Bone marrow derived macrophage"
"2492","GSM2360212","Bone marrow derived macrophage"
"2493","GSM2360213","Bone marrow derived macrophage"
"2494","GSM2360214","Bone marrow derived macrophage"
"2495","GSM2360215","Bone marrow derived macrophage"
"2496","GSM2360216","Bone marrow derived macrophage"
"2497","GSM2360217","Bone marrow derived macrophage"
"2498","GSM2360218","Bone marrow derived macrophage"
"2499","GSM2360219","Bone marrow derived macrophage"
"2500","GSM2360220","Bone marrow derived macrophage"
"2501","GSM2360221","Bone marrow derived macrophage"
"2502","GSM2402496","iPSC-differentiated dopamine neurons"
"2503","GSM2402497","iPSC-differentiated dopamine neurons"
"2504","GSM2402498","iPSC-differentiated dopamine neurons"
"2505","GSM2402499","iPSC-differentiated dopamine neurons"
"2506","GSM2402500","iPSC-differentiated dopamine neurons"
"2507","GSM2402501","iPSC-differentiated dopamine neurons"
"2508","GSM2402502","iPSC-differentiated dopamine neurons"
"2509","GSM2402503","iPSC-differentiated dopamine neurons"
"2510","GSM2402504","iPSC-differentiated dopamine neurons"
"2511","GSM2402505","iPSC-differentiated dopamine neurons"
"2512","GSM2402506","iPSC-differentiated dopamine neurons"
"2513","GSM2402507","iPSC-differentiated dopamine neurons"
"2514","GSM2422491","E14"
"2515","GSM2422492","E14"
"2516","GSM2422493","E14"
"2517","GSM2422494","E14"
"2518","GSM2422495","E14"
"2519","GSM2422496","E14"
"2520","GSM2422497","E14"
"2521","GSM2422498","E14"
"2522","GSM2422499","E14"
"2523","GSM2422500","E14"
"2524","GSM2422501","E14"
"2525","GSM2422502","E14"
"2526","GSM2422503","E14"
"2527","GSM2422504","E14"
"2528","GSM2422505","E14"
"2529","GSM2422506","E14"
"2530","GSM2422507","E14"
"2531","GSM2422508","E14"
"2532","GSM2422509","E14"
"2533","GSM2422510","E14"
"2534","GSM2422511","E14"
"2535","GSM2422512","E14"
"2536","GSM2422513","E14"
"2537","GSM2422514","E14"
"2538","GSM2422515","E14"
"2539","GSM2422516","E14"
"2540","GSM2422517","E14"
"2541","GSM2422518","E14"
"2542","GSM2422519","E14"
"2543","GSM2424851","HeLa"
"2544","GSM2424852","HeLa"
"2545","GSM2424853","HeLa"
"2546","GSM2424854","HeLa"
"2547","GSM2424855","HeLa"
"2548","GSM2424856","HeLa"
"2549","GSM2443010","HEK293"
"2550","GSM2443011","HEK293"
"2551","GSM2443012","HEK293"
"2552","GSM2443013","HEK293"
"2553","GSM2443014","HEK293"
"2554","GSM2443015","HEK293"
"2555","GSM2443016","HEK293"
"2556","GSM2443017","HEK293"
"2557","GSM2443018","HEK293"
"2561","GSM2443022","HEK293"
"2562","GSM2443023","HEK293"
"2563","GSM2443024","HEK293"
"2564","GSM2443025","HEK293"
"2565","GSM2443026","HEK293"
"2566","GSM2443027","HEK293"
"2567","GSM2445294","Flp-In T-REx-293"
"2568","GSM2445295","Flp-In T-REx-293"
"2569","GSM2445296","Flp-In T-REx-293"
"2570","GSM2445297","Flp-In T-REx-293"
"2571","GSM2474455","MEG-01"
"2572","GSM2474456","MEG-01"
"2573","GSM2474457","MEG-01"
"2574","GSM2474458","MEG-01"
"2575","GSM2474459","MEG-01"
"2576","GSM2474460","MEG-01"
"2577","GSM2474461","MEG-01"
"2578","GSM2474462","MEG-01"
"2579","GSM2474463","MEG-01"
"2580","GSM2474464","MEG-01"
"2581","GSM2474465","MEG-01"
"2582","GSM2474466","MEG-01"
"2583","GSM2474467","MEG-01"
"2584","GSM2474468","MEG-01"
"2587","GSM2474471","primary epidermis"
"2588","GSM2474472","primary epidermis"
"2589","GSM2474473","primary epidermis"
"2590","GSM2474474","primary epidermis"
"2591","GSM2474475","primary epidermis"
"2592","GSM2475997","Huh7"
"2593","GSM2475998","Huh7"
"2594","GSM2475999","Huh7"
"2595","GSM2476000","Huh7"
"2596","GSM2476001","Huh7"
"2597","GSM2476002","Huh7"
"2598","GSM2476003","Huh7"
"2599","GSM2476004","Huh7"
"2600","GSM2476005","Huh7"
"2601","GSM2476006","Huh7"
"2602","GSM2476007","Huh7"
"2603","GSM2476008","Huh7"
"2604","GSM2476009","Huh7"
"2605","GSM2476010","Huh7"
"2606","GSM2476011","Huh7"
"2607","GSM2476012","Huh7"
"2608","GSM2476013","Huh7"
"2609","GSM2476014","Huh7"
"2610","GSM2476015","Huh7"
"2611","GSM2476016","Huh7"
"2612","GSM2476017","Huh7"
"2613","GSM2476018","Huh7"
"2614","GSM2476019","Huh7"
"2615","GSM2476020","Huh7"
"2616","GSM2476021","Huh7"
"2617","GSM2476022","Huh7"
"2618","GSM2476121","HEK293"
"2619","GSM2476122","HEK293"
"2620","GSM2481046","MOLM-13"
"2621","GSM2481047","MOLM-13"
"2622","GSM2481048","MOLM-13"
"2623","GSM2481049","MOLM-13"
"2624","GSM2481050","MOLM-13"
"2625","GSM2481051","MOLM-13"
"2626","GSM2481052","MOLM-13"
"2627","GSM2481053","MOLM-13"
"2628","GSM2481054","MOLM-13"
"2629","GSM2481055","MOLM-13"
"2630","GSM2481056","MOLM-13"
"2631","GSM2481057","MOLM-13"
"2632","GSM2481058","MOLM-13"
"2633","GSM2481059","MOLM-13"
"2634","GSM2481060","MOLM-13"
"2635","GSM2481061","MOLM-13"
"2636","GSM2481062","MOLM-13"
"2637","GSM2481063","MOLM-13"
"2638","GSM2486191","NCI-H929"
"2639","GSM2486192","NCI-H929"
"2640","GSM2486193","NAMALWA"
"2641","GSM2486194","NAMALWA"
"2642","GSM2486195","MM1.S"
"2643","GSM2486196","MM1.S"
"2644","GSM2486197","OPM2"
"2645","GSM2486198","OPM2"
"2646","GSM2486199","U266"
"2647","GSM2486200","U266"
"2648","GSM2493727","brain"
"2649","GSM2493728","brain"
"2650","GSM2493729","heart"
"2651","GSM2493730","heart"
"2652","GSM2493731","kidney"
"2653","GSM2493732","kidney"
"2654","GSM2493733","liver"
"2655","GSM2493734","liver"
"2656","GSM2493735","lung"
"2657","GSM2493736","lung"
"2658","GSM2493737","retina"
"2659","GSM2493738","retina"
"2660","GSM2493743","brain"
"2661","GSM2493744","brain"
"2662","GSM2493745","heart"
"2663","GSM2493746","heart"
"2664","GSM2493747","kidney"
"2665","GSM2493748","kidney"
"2666","GSM2493749","liver"
"2667","GSM2493750","liver"
"2668","GSM2493751","lung"
"2669","GSM2493752","lung"
"2670","GSM2493753","retina"
"2671","GSM2493754","retina"
"2672","GSM2493847","NSC"
"2673","GSM2493848","NSC"
"2674","GSM2493849","NSC"
"2675","GSM2493850","NSC"
"2676","GSM2493851","NSC"
"2677","GSM2493852","NSC and ENB"
"2678","GSM2493853","NSC and ENB"
"2679","GSM2493854","NSC and ENB"
"2680","GSM2493855","ENB"
"2681","GSM2493856","ENB"
"2682","GSM2493857","ENB"
"2683","GSM2493858","ENB"
"2684","GSM2493859","ENB"
"2685","GSM2493860","LNB"
"2686","GSM2493861","LNB"
"2687","GSM2493862","LNB"
"2688","GSM2493863","LNB"
"2689","GSM2493864","LNB"
"2690","GSM2493865","LNB"
"2691","GSM2493866","LNB and Neuron"
"2692","GSM2493867","LNB and Neuron"
"2693","GSM2493868","LNB and Neuron"
"2694","GSM2493869","Neuron"
"2695","GSM2493870","Neuron"
"2696","GSM2493871","Neuron"
"2697","GSM2493872","Neuron"
"2698","GSM2493873","Neuron"
"2699","GSM2500481","cns section including hypothalamus and midbrain"
"2700","GSM2500482","cns section including hypothalamus and midbrain"
"2701","GSM2500483","cns section including hypothalamus and midbrain"
"2702","GSM2500484","cns section including hypothalamus and midbrain"
"2703","GSM2500485","cns section including hypothalamus and midbrain"
"2704","GSM2500486","cns section including hypothalamus and midbrain"
"2705","GSM2510294","duodenum"
"2706","GSM2510295","duodenum"
"2707","GSM2510296","duodenum"
"2708","GSM2510297","duodenum"
"2709","GSM2510298","duodenum"
"2710","GSM2510299","duodenum"
"2711","GSM2510300","duodenum"
"2712","GSM2510301","duodenum"
"2713","GSM2510302","duodenum"
"2714","GSM2510303","duodenum"
"2715","GSM2510304","duodenum"
"2716","GSM2510305","duodenum"
"2717","GSM2527985","spleen and lymph nodes"
"2718","GSM2527986","spleen and lymph nodes"
"2719","GSM2527987","spleen and lymph nodes"
"2720","GSM2527988","spleen and lymph nodes"
"2721","GSM2527989","spleen and lymph nodes"
"2722","GSM2527990","spleen and lymph nodes"
"2723","GSM2527991","spleen and lymph nodes"
"2724","GSM2527992","spleen and lymph nodes"
"2725","GSM2527993","spleen and lymph nodes"
"2726","GSM2527994","spleen and lymph nodes"
"2727","GSM2527995","spleen and lymph nodes"
"2728","GSM2527996","spleen and lymph nodes"
"2729","GSM2527997","spleen and lymph nodes"
"2730","GSM2527998","spleen and lymph nodes"
"2731","GSM2528008","spleen and lymph nodes"
"2732","GSM2528009","spleen and lymph nodes"
"2733","GSM2528010","spleen and lymph nodes"
"2734","GSM2528011","spleen and lymph nodes"
"2735","GSM2528012","spleen and lymph nodes"
"2736","GSM2528013","spleen and lymph nodes"
"2737","GSM2528014","spleen and lymph nodes"
"2738","GSM2528015","spleen and lymph nodes"
"2739","GSM2537139","MCF7"
"2740","GSM2537140","MCF7"
"2741","GSM2537141","MCF7"
"2742","GSM2537142","MCF7"
"2743","GSM2537143","MCF7"
"2744","GSM2537144","MCF7"
"2745","GSM2537145","MCF7"
"2746","GSM2537146","MCF7"
"2747","GSM2538879","MCF7"
"2748","GSM2538882","MCF7"
"2749","GSM2538884","MCF7"
"2750","GSM2538886","MCF7"
"2751","GSM2538901","PC9"
"2752","GSM2538902","H1933"
"2753","GSM2538903","PC9"
"2754","GSM2538904","H1933"
"2755","GSM2549649","E14"
"2756","GSM2549650","E14"
"2757","GSM2549651","E14"
"2758","GSM2549652","E14"
"2759","GSM2552191","HAP-1"
"2760","GSM2552192","HAP-1"
"2761","GSM2552193","HAP-1"
"2762","GSM2552196","HAP-1"
"2763","GSM2552197","HAP-1"
"2764","GSM2552198","HAP-1"
"2765","GSM2552199","HAP-1"
"2766","GSM2552200","HAP-1"
"2767","GSM2552201","HAP-1"
"2768","GSM2561004","Bone marrow derived macrophage"
"2769","GSM2561005","Bone marrow derived macrophage"
"2770","GSM2561006","Bone marrow derived macrophage"
"2771","GSM2561007","Bone marrow derived macrophage"
"2772","GSM2561008","Bone marrow derived macrophage"
"2773","GSM2561009","Bone marrow derived macrophage"
"2774","GSM2561010","Bone marrow derived macrophage"
"2775","GSM2561011","Bone marrow derived macrophage"
"2776","GSM2561012","Bone marrow derived macrophage"
"2777","GSM2561013","Bone marrow derived macrophage"
"2778","GSM2561014","Bone marrow derived macrophage"
"2779","GSM2561015","Bone marrow derived macrophage"
"2780","GSM2561016","Bone marrow derived macrophage"
"2781","GSM2561017","Bone marrow derived macrophage"
"2782","GSM2561018","Bone marrow derived macrophage"
"2783","GSM2561019","Bone marrow derived macrophage"
"2784","GSM2561020","Bone marrow derived macrophage"
"2785","GSM2561021","Bone marrow derived macrophage"
"2786","GSM2561022","Bone marrow derived macrophage"
"2787","GSM2561023","Bone marrow derived macrophage"
"2788","GSM2561024","Bone marrow derived macrophage"
"2789","GSM2561025","Bone marrow derived macrophage"
"2790","GSM2561026","Bone marrow derived macrophage"
"2791","GSM2561027","Bone marrow derived macrophage"
"2792","GSM2563629","HEK293T"
"2793","GSM2563630","HEK293T"
"2794","GSM2563631","HEK293T"
"2795","GSM2563632","HEK293T"
"2796","GSM2563633","HEK293T"
"2797","GSM2563634","HEK293T"
"2798","GSM2563635","HEK293T"
"2799","GSM2563636","HEK293T"
"2800","GSM2563637","HEK293T"
"2801","GSM2563638","HEK293T"
"2802","GSM2563639","HEK293T"
"2803","GSM2563640","HEK293T"
"2804","GSM2563641","HEK293T"
"2805","GSM2563642","HEK293T"
"2806","GSM2563643","HEK293T"
"2807","GSM2563644","HEK293T"
"2808","GSM2563645","HEK293T"
"2809","GSM2563646","HEK293T"
"2810","GSM2579679","E14"
"2811","GSM2579680","E14"
"2812","GSM2579681","E14"
"2813","GSM2579682","E14"
"2814","GSM2579683","E14"
"2815","GSM2579684","E14"
"2816","GSM2579685","E14"
"2817","GSM2579686","E14"
"2818","GSM2579687","E14"
"2819","GSM2579688","E14"
"2820","GSM2579689","E14"
"2821","GSM2579690","E14"
"2822","GSM2601309","LCL"
"2823","GSM2601310","LCL"
"2824","GSM2601311","LCL"
"2825","GSM2601312","LCL"
"2826","GSM2602073","MOLM-13"
"2827","GSM2602074","MOLM-13"
"2828","GSM2602075","MOLM-13"
"2829","GSM2602076","MOLM-13"
"2830","GSM2602077","MOLM-13"
"2831","GSM2602078","MOLM-13"
"2832","GSM2602079","MOLM-13"
"2833","GSM2602080","MOLM-13"
"2834","GSM2602081","MOLM-13"
"2835","GSM2602082","MOLM-13"
"2836","GSM2602083","MOLM-13"
"2837","GSM2602084","MOLM-13"
"2838","GSM2602085","MOLM-13"
"2839","GSM2602086","MOLM-13"
"2840","GSM2602087","MOLM-13"
"2841","GSM2602088","MOLM-13"
"2842","GSM2602089","MOLM-13"
"2843","GSM2602090","MOLM-13"
"2844","GSM2648066","Quadriceps muscle"
"2845","GSM2648067","Quadriceps muscle"
"2846","GSM2648068","Quadriceps muscle"
"2847","GSM2648069","Quadriceps muscle"
"2848","GSM2648070","Quadriceps muscle"
"2849","GSM2648071","Quadriceps muscle"
"2850","GSM2648072","Quadriceps muscle"
"2851","GSM2648073","Quadriceps muscle"
"2852","GSM2648074","Quadriceps muscle"
"2853","GSM2648075","Quadriceps muscle"
"2854","GSM2648076","Quadriceps muscle"
"2855","GSM2648077","Quadriceps muscle"
"2856","GSM2648078","Quadriceps muscle"
"2857","GSM2648079","Quadriceps muscle"
"2858","GSM2648080","Quadriceps muscle"
"2859","GSM2648081","Quadriceps muscle"
"2860","GSM2648082","Quadriceps muscle"
"2861","GSM2648083","Quadriceps muscle"
"2862","GSM2648084","Quadriceps muscle"
"2863","GSM2648085","Quadriceps muscle"
"2864","GSM2648086","Quadriceps muscle"
"2865","GSM2648087","Quadriceps muscle"
"2866","GSM2652244","Bone marrow derived macrophage"
"2867","GSM2652245","Bone marrow derived macrophage"
"2868","GSM2652246","Bone marrow derived macrophage"
"2869","GSM2652247","Bone marrow derived macrophage"
"2870","GSM2652248","Bone marrow derived macrophage"
"2871","GSM2652249","Bone marrow derived macrophage"
"2872","GSM2652250","Bone marrow derived macrophage"
"2873","GSM2652251","Bone marrow derived macrophage"
"2874","GSM2652252","Bone marrow derived macrophage"
"2875","GSM2652253","Bone marrow derived macrophage"
"2876","GSM2652254","Bone marrow derived macrophage"
"2877","GSM2652255","Bone marrow derived macrophage"
"2878","GSM2652256","Bone marrow derived macrophage"
"2879","GSM2652257","Bone marrow derived macrophage"
"2880","GSM2652258","Bone marrow derived macrophage"
"2881","GSM2652259","Bone marrow derived macrophage"
"2882","GSM2652260","Bone marrow derived macrophage"
"2883","GSM2652261","Bone marrow derived macrophage"
"2884","GSM2652262","Bone marrow derived macrophage"
"2885","GSM2652263","Bone marrow derived macrophage"
"2886","GSM2652316","visual cortex"
"2887","GSM2652317","visual cortex"
"2888","GSM2652318","visual cortex"
"2889","GSM2652319","visual cortex"
"2890","GSM2652320","visual cortex"
"2891","GSM2652321","visual cortex"
"2892","GSM2652322","visual cortex"
"2893","GSM2652323","visual cortex"
"2894","GSM2652324","motor cortex"
"2895","GSM2652325","motor cortex"
"2896","GSM2652326","motor cortex"
"2897","GSM2652327","motor cortex"
"2898","GSM2652328","motor cortex"
"2899","GSM2652329","motor cortex"
"2900","GSM2652330","motor cortex"
"2901","GSM2652331","motor cortex"
"2902","GSM2652332","hippocampus"
"2903","GSM2652333","hippocampus"
"2904","GSM2652334","hippocampus"
"2905","GSM2652335","hippocampus"
"2906","GSM2652336","hippocampus"
"2907","GSM2652337","hippocampus"
"2908","GSM2652338","hippocampus"
"2909","GSM2652339","hippocampus"
"2910","GSM2652340","Cerebellum"
"2911","GSM2652341","Cerebellum"
"2912","GSM2652342","Cerebellum"
"2913","GSM2652343","Cerebellum"
"2914","GSM2652344","Cerebellum"
"2915","GSM2652345","Cerebellum"
"2916","GSM2652346","Cerebellum"
"2917","GSM2652347","Cerebellum"
"2918","GSM2667787","hESC"
"2919","GSM2667788","hESC"
"2920","GSM2667789","hESC"
"2921","GSM2667790","hESC"
"2922","GSM2667791","NPC"
"2923","GSM2667792","NPC"
"2924","GSM2667793","NPC"
"2925","GSM2667794","NPC"
"2926","GSM2667795","neu14"
"2927","GSM2667796","neu14"
"2928","GSM2667797","neu14"
"2929","GSM2667798","neu14"
"2930","GSM2676351","HepG2"
"2931","GSM2676352","HepG2"
"2932","GSM2676353","HepG2"
"2933","GSM2676354","HepG2"
"2934","GSM2676355","HepG2"
"2935","GSM2676356","HepG2"
"2936","GSM2676357","HepG2"
"2937","GSM2676358","HepG2"
"2938","GSM2676359","HepG2"
"2939","GSM2676360","HepG2"
"2940","GSM2676361","HepG2"
"2941","GSM2676362","HepG2"
"2942","GSM2676363","HepG2"
"2943","GSM2676364","HepG2"
"2944","GSM2676989","Naive T cells"
"2945","GSM2676990","Naive T cells"
"2946","GSM2676991","Naive T cells"
"2947","GSM2676992","Naive T cells"
"2948","GSM2676993","Naive T cells"
"2949","GSM2676994","Naive T cells"
"2950","GSM2676995","Naive T cells"
"2951","GSM2676996","Naive T cells"
"2952","GSM2676997","Naive T cells"
"2953","GSM2676998","Naive T cells"
"2954","GSM2676999","Naive T cells"
"2955","GSM2677000","Naive T cells"
"2956","GSM2677001","Naive T cells"
"2957","GSM2677002","Naive T cells"
"2958","GSM2677003","Naive T cells"
"2959","GSM2677004","Naive T cells"
"2960","GSM2677005","Naive T cells"
"2961","GSM2677006","Naive T cells"
"2962","GSM2677007","Naive T cells"
"2963","GSM2677008","Naive T cells"
"2964","GSM2677009","Naive T cells"
